Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.1,1,1,5.41
Blade,0.1,1,2,12.62
Blade,0.1,1,4,21.4
Blade,0.1,1,8,24.11
Blade,0.1,1,16,24.73
Blade,0.1,1,32,25.13
Blade,0.1,1,48,24.81
Blade,0.1,2,1,5.17
Blade,0.1,2,2,13.11
Blade,0.1,2,4,21.48
Blade,0.1,2,8,24.17
Blade,0.1,2,16,24.82
Blade,0.1,2,32,24.71
Blade,0.1,2,48,25.06
Blade,0.1,4,1,5.24
Blade,0.1,4,2,12.81
Blade,0.1,4,4,21.77
Blade,0.1,4,8,24.08
Blade,0.1,4,16,24.94
Blade,0.1,4,32,24.63
Blade,0.1,4,48,24.9
Blade,0.1,8,1,5.11
Blade,0.1,8,2,12.67
Blade,0.1,8,4,21
Blade,0.1,8,8,23.98
Blade,0.1,8,16,24.42
Blade,0.1,8,32,24.52
Blade,0.1,8,48,24.69
Blade,0.1,16,1,5.23
Blade,0.1,16,2,12.1
Blade,0.1,16,4,20.54
Blade,0.1,16,8,22.97
Blade,0.1,16,16,23.48
Blade,0.1,16,32,23.73
Blade,0.1,16,48,23.68
Blade,0.1,32,1,5.73
Blade,0.1,32,2,14.4
Blade,0.1,32,4,25.3
Blade,0.1,32,8,28.95
Blade,0.1,32,16,29.33
Blade,0.1,32,32,29.75
Blade,0.1,32,48,29.48
Blade,0.1,64,1,5.8
Blade,0.1,64,2,14.97
Blade,0.1,64,4,28.22
Blade,0.1,64,8,32.03
Blade,0.1,64,16,32.62
Blade,0.1,64,32,33.32
Blade,0.1,64,48,33.15
Blade,0.1,128,1,5.77
Blade,0.1,128,2,15.82
Blade,0.1,128,4,29.15
Blade,0.1,128,8,33.54
Blade,0.1,128,16,34.98
Blade,0.1,128,32,35.06
Blade,0.1,128,48,34.5
Blade,0.1,256,1,5.93
Blade,0.1,256,2,15.8
Blade,0.1,256,4,29.85
Blade,0.1,256,8,35.45
Blade,0.1,256,16,36.5
Blade,0.1,256,32,37.43
Blade,0.1,256,48,37.04
Blade,0.1,512,1,5.81
Blade,0.1,512,2,15.8
Blade,0.1,512,4,30.06
Blade,0.1,512,8,35.98
Blade,0.1,512,16,36.3
Blade,0.1,512,32,37.02
Blade,0.1,512,48,37.22
Blade,0.1,1024,1,7.73
Blade,0.1,1024,2,18.61
Blade,0.1,1024,4,31.56
Blade,0.1,1024,8,36.73
Blade,0.1,1024,16,39.13
Blade,0.1,1024,32,39.16
Blade,0.1,1024,48,38.44
Blade,0.25,1,1,5.65
Blade,0.25,1,2,13.93
Blade,0.25,1,4,33.05
Blade,0.25,1,8,63.75
Blade,0.25,1,16,70.65
Blade,0.25,1,32,71.97
Blade,0.25,1,48,72.1
Blade,0.25,2,1,5.65
Blade,0.25,2,2,13.97
Blade,0.25,2,4,33.03
Blade,0.25,2,8,63.44
Blade,0.25,2,16,70.48
Blade,0.25,2,32,71.73
Blade,0.25,2,48,71.56
Blade,0.25,4,1,5.6
Blade,0.25,4,2,14.17
Blade,0.25,4,4,33.29
Blade,0.25,4,8,62.95
Blade,0.25,4,16,70.87
Blade,0.25,4,32,71.9
Blade,0.25,4,48,71.67
Blade,0.25,8,1,5.48
Blade,0.25,8,2,13.89
Blade,0.25,8,4,32.68
Blade,0.25,8,8,63.73
Blade,0.25,8,16,71.93
Blade,0.25,8,32,71.58
Blade,0.25,8,48,71.8
Blade,0.25,16,1,5.55
Blade,0.25,16,2,13.7
Blade,0.25,16,4,31.88
Blade,0.25,16,8,61.98
Blade,0.25,16,16,69.13
Blade,0.25,16,32,70.48
Blade,0.25,16,48,70.23
Blade,0.25,32,1,6.25
Blade,0.25,32,2,15.6
Blade,0.25,32,4,38.6
Blade,0.25,32,8,77.55
Blade,0.25,32,16,87.03
Blade,0.25,32,32,88.58
Blade,0.25,32,48,87.3
Blade,0.25,64,1,5.98
Blade,0.25,64,2,16.68
Blade,0.25,64,4,44.88
Blade,0.25,64,8,89.38
Blade,0.25,64,16,99.17
Blade,0.25,64,32,99.47
Blade,0.25,64,48,99.58
Blade,0.25,128,1,6.3
Blade,0.25,128,2,16.28
Blade,0.25,128,4,45.45
Blade,0.25,128,8,97.51
Blade,0.25,128,16,107.28
Blade,0.25,128,32,108.35
Blade,0.25,128,48,107.26
Blade,0.25,256,1,6.02
Blade,0.25,256,2,16.67
Blade,0.25,256,4,46.91
