Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.1,1,1,15.10173913
Blade,0.1,1,2,25.22266667
Blade,0.1,1,4,36.21588235
Blade,0.1,1,8,39.83382353
Blade,0.1,1,16,42.89294118
Blade,0.1,1,32,43.67647059
Blade,0.1,1,48,44.37264706
Blade,0.1,2,1,16.14705882
Blade,0.1,2,2,27.566
Blade,0.1,2,4,37.73470588
Blade,0.1,2,8,41.34382353
Blade,0.1,2,16,43.13794118
Blade,0.1,2,32,43.05852941
Blade,0.1,2,48,44.46058824
Blade,0.1,4,1,16.18933333
Blade,0.1,4,2,29.62233333
Blade,0.1,4,4,37.86666667
Blade,0.1,4,8,40.26633333
Blade,0.1,4,16,42.64466667
Blade,0.1,4,32,44.444
Blade,0.1,4,48,43.311
Blade,0.1,8,1,16.20617647
Blade,0.1,8,2,27.73333333
Blade,0.1,8,4,37.11823529
Blade,0.1,8,8,40.32411765
Blade,0.1,8,16,41.70558824
Blade,0.1,8,32,42.47058824
Blade,0.1,8,48,42.84323529
Blade,0.1,16,1,16.54941176
Blade,0.1,16,2,27.69933333
Blade,0.1,16,4,36.41205882
Blade,0.1,16,8,38.74470588
Blade,0.1,16,16,40.32323529
Blade,0.1,16,32,40.73558824
Blade,0.1,16,48,41.58852941
Blade,0.1,32,1,22.58933333
Blade,0.1,32,2,39.11133333
Blade,0.1,32,4,50.27733333
Blade,0.1,32,8,54.78933333
Blade,0.1,32,16,56.68833333
Blade,0.1,32,32,57.15533333
Blade,0.1,32,48,56.92166667
Blade,0.1,64,1,33.88878788
Blade,0.1,64,2,49.85533333
Blade,0.1,64,4,65.3530303
Blade,0.1,64,8,70.64636364
Blade,0.1,64,16,74.08090909
Blade,0.1,64,32,75.22181818
Blade,0.1,64,48,74.50515152
Blade,0.1,128,1,41.89848485
Blade,0.1,128,2,65.10033333
Blade,0.1,128,4,84.88878788
Blade,0.1,128,8,90.09030303
Blade,0.1,128,16,94.73666667
Blade,0.1,128,32,95.94909091
Blade,0.1,128,48,93.04060606
Blade,0.1,256,1,62.94878788
Blade,0.1,256,2,82.53366667
Blade,0.1,256,4,89.59636364
Blade,0.1,256,8,111.1612121
Blade,0.1,256,16,121.4751515
Blade,0.1,256,32,123.4651515
Blade,0.1,256,48,122.2927273
Blade,0.1,512,1,64.66606061
Blade,0.1,512,2,85.32233333
Blade,0.1,512,4,99.50454545
Blade,0.1,512,8,125.3636364
Blade,0.1,512,16,139.2018182
Blade,0.1,512,32,136.5254545
Blade,0.1,512,48,137.2924242
Blade,0.1,1024,1,77.79787879
Blade,0.1,1024,2,98.56733333
Blade,0.1,1024,4,121.6772727
Blade,0.1,1024,8,142.4345455
Blade,0.1,1024,16,153.6057576
Blade,0.1,1024,32,155.3536364
Blade,0.1,1024,48,150.9090909
Blade,0.25,1,1,18.25558824
Blade,0.25,1,2,37.3
Blade,0.25,1,4,77.46088235
Blade,0.25,1,8,107.1861765
Blade,0.25,1,16,118.0982353
Blade,0.25,1,32,123.5294118
Blade,0.25,1,48,124.5582353
Blade,0.25,2,1,19.88235294
Blade,0.25,2,2,38.95633333
Blade,0.25,2,4,80.96058824
Blade,0.25,2,8,109.5094118
Blade,0.25,2,16,118.6276471
Blade,0.25,2,32,123.4114706
Blade,0.25,2,48,122.4020588
Blade,0.25,4,1,19.93266667
Blade,0.25,4,2,43.86766667
Blade,0.25,4,4,81.78833333
Blade,0.25,4,8,108.6
Blade,0.25,4,16,117.4556667
Blade,0.25,4,32,124.4666667
Blade,0.25,4,48,123.155
Blade,0.25,8,1,20.99029412
Blade,0.25,8,2,41.34466667
Blade,0.25,8,4,85.36264706
Blade,0.25,8,8,111.8926471
Blade,0.25,8,16,122.5002941
Blade,0.25,8,32,126.0294118
Blade,0.25,8,48,127.7741176
Blade,0.25,16,1,23.72441176
Blade,0.25,16,2,48.34466667
Blade,0.25,16,4,101.235
Blade,0.25,16,8,126.7158824
