Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Gpu1,0.1,1024,1,62.07333333
Gpu1,0.1,1024,2,68.92333333
Gpu1,0.1,1024,4,84.12375
Gpu1,0.1,1024,8,91.5
Gpu1,0.1,1024,16,95.66625
Gpu1,0.1,1024,32,94.4575
Gpu1,0.1,1024,48,98.29375
Gpu1,0.25,1,1,17.468
Gpu1,0.25,1,2,37.5
Gpu1,0.25,1,4,81.235
Gpu1,0.25,1,8,114.6
Gpu1,0.25,1,16,129.3
Gpu1,0.25,1,32,145.168
Gpu1,0.25,1,48,145.765
Gpu1,0.25,2,1,19.199
Gpu1,0.25,2,2,42.266
Gpu1,0.25,2,4,83.734
Gpu1,0.25,2,8,114.666
Gpu1,0.25,2,16,132.499
Gpu1,0.25,2,32,146.2
Gpu1,0.25,2,48,147.467
Gpu1,0.25,4,1,18.801
Gpu1,0.25,4,2,44.234
Gpu1,0.25,4,4,84.401
Gpu1,0.25,4,8,115.735
Gpu1,0.25,4,16,132.2
Gpu1,0.25,4,32,144.634
Gpu1,0.25,4,48,148.533
Gpu1,0.25,8,1,21.467
Gpu1,0.25,8,2,49.132
Gpu1,0.25,8,4,89.733
Gpu1,0.25,8,8,118.532
Gpu1,0.25,8,16,134.866
Gpu1,0.25,8,32,145.1
Gpu1,0.25,8,48,147.367
Gpu1,0.25,16,1,23.768
Gpu1,0.25,16,2,53.766
Gpu1,0.25,16,4,103.399
Gpu1,0.25,16,8,130.201
Gpu1,0.25,16,16,141.066
Gpu1,0.25,16,32,144.5
Gpu1,0.25,16,48,148.6
Gpu1,0.25,32,1,30.1
Gpu1,0.25,32,2,63.665
Gpu1,0.25,32,4,116.533
Gpu1,0.25,32,8,142.599
Gpu1,0.25,32,16,165.4
Gpu1,0.25,32,32,174.033
Gpu1,0.25,32,48,178.2
Gpu1,0.25,64,1,43.1
Gpu1,0.25,64,2,86.065
Gpu1,0.25,64,4,160.7777778
Gpu1,0.25,64,8,188.3688889
Gpu1,0.25,64,16,207.3344444
Gpu1,0.25,64,32,219.11
Gpu1,0.25,64,48,219.2222222
Gpu1,0.25,128,1,54.37
Gpu1,0.25,128,2,116.7411111
Gpu1,0.25,128,4,221.5177778
Gpu1,0.25,128,8,257.3333333
Gpu1,0.25,128,16,279.1855556
Gpu1,0.25,128,32,289.4822222
Gpu1,0.25,128,48,293.6655556
Gpu1,0.25,256,1,73.48222222
Gpu1,0.25,256,2,148.3333333
Gpu1,0.25,256,4,266.4055556
Gpu1,0.25,256,8,314.9622222
Gpu1,0.25,256,16,355.7777778
Gpu1,0.25,256,32,363.8155556
Gpu1,0.25,256,48,370.6288889
Gpu1,0.25,512,1,91.81444444
Gpu1,0.25,512,2,153.0366667
Gpu1,0.25,512,4,325.0366667
Gpu1,0.25,512,8,371
Gpu1,0.25,512,16,408.7411111
Gpu1,0.25,512,32,416
Gpu1,0.25,512,48,421.3344444
Gpu1,0.25,1024,1,134.0733333
Gpu1,0.25,1024,2,218.4077778
Gpu1,0.25,1024,4,341.08375
Gpu1,0.25,1024,8,390.83375
Gpu1,0.25,1024,16,408.625
Gpu1,0.25,1024,32,401.49875
Gpu1,0.25,1024,48,416.50125
Gpu1,0.5,1,1,17.1
Gpu1,0.5,1,2,40.068
Gpu1,0.5,1,4,101
Gpu1,0.5,1,8,208.099
Gpu1,0.5,1,16,282.932
Gpu1,0.5,1,32,308.132
Gpu1,0.5,1,48,314.1
Gpu1,0.5,2,1,19.401
Gpu1,0.5,2,2,46.1
Gpu1,0.5,2,4,103.234
Gpu1,0.5,2,8,212.4
Gpu1,0.5,2,16,282.434
Gpu1,0.5,2,32,308.167
Gpu1,0.5,2,48,314.498
Gpu1,0.5,4,1,19.099
Gpu1,0.5,4,2,45.5
Gpu1,0.5,4,4,105.199
Gpu1,0.5,4,8,210.968
Gpu1,0.5,4,16,285.001
Gpu1,0.5,4,32,310.167
Gpu1,0.5,4,48,308.568
Gpu1,0.5,8,1,22.667
Gpu1,0.5,8,2,51.166
Gpu1,0.5,8,4,112.433
Gpu1,0.5,8,8,221.233
Gpu1,0.5,8,16,293.199
Gpu1,0.5,8,32,326.567
Gpu1,0.5,8,48,327.967
