workload_id,machine_id,io_scheduler,disk_type,block_size,bg_count,inode_size,file_system,throughput
4,6,0,2,4096,32,512,ext4,15860.333333333336
4,6,0,2,4096,32,1024,ext4,15905.0
4,6,0,3,2048,2,256,ext4,15705.333333333336
4,6,0,3,2048,2,512,ext4,15717.666666666664
4,6,0,3,2048,4,256,ext4,15736.666666666664
4,6,0,3,2048,4,512,ext4,15763.0
4,6,0,3,2048,8,256,ext4,15732.666666666664
4,6,0,3,2048,8,512,ext4,15913.666666666664
4,6,0,3,2048,12,256,ext4,15935.666666666664
4,6,0,3,2048,12,512,ext4,15701.0
4,6,0,3,2048,16,128,ext4,15882.0
4,6,0,3,2048,16,256,ext4,15792.333333333336
4,6,0,3,2048,16,512,ext4,15769.666666666664
4,6,0,3,4096,2,256,ext4,15912.666666666664
4,6,0,3,4096,2,512,ext4,15808.666666666664
4,6,0,3,4096,2,1024,ext4,15799.333333333336
4,6,0,3,4096,4,256,ext4,15803.333333333336
4,6,0,3,4096,4,512,ext4,15808.0
4,6,0,3,4096,4,1024,ext4,15820.0
4,6,0,3,4096,8,256,ext4,15948.666666666664
4,6,0,3,4096,8,512,ext4,15832.666666666664
4,6,0,3,4096,8,1024,ext4,15971.0
4,6,0,3,4096,12,256,ext4,15793.0
4,6,0,3,4096,12,512,ext4,15849.0
4,6,0,3,4096,12,1024,ext4,15980.0
4,6,0,3,4096,12,2048,ext4,15799.666666666664
4,6,0,3,4096,16,256,ext4,15769.666666666664
4,6,0,3,4096,16,512,ext4,15744.666666666664
4,6,0,3,4096,16,1024,ext4,16046.333333333336
4,6,0,3,4096,32,128,ext4,16007.5
4,6,0,3,4096,32,256,ext4,15842.666666666664
4,6,0,3,4096,32,512,ext4,15890.0
4,6,0,3,4096,32,1024,ext4,15996.333333333336
4,6,1,0,2048,2,256,ext4,15700.333333333336
4,6,1,0,2048,2,512,ext4,15690.0
4,6,1,0,2048,4,256,ext4,15655.0
4,6,1,0,2048,4,512,ext4,15839.0
4,6,1,0,2048,8,256,ext4,15709.666666666664
4,6,1,0,2048,8,512,ext4,15880.0
4,6,1,0,2048,12,256,ext4,15897.333333333336
4,6,1,0,2048,12,512,ext4,15887.666666666664
4,6,1,0,2048,16,128,ext4,15840.0
4,6,1,0,2048,16,256,ext4,15745.333333333336
4,6,1,0,2048,16,512,ext4,15833.0
4,6,1,0,4096,2,256,ext4,15680.666666666664
4,6,1,0,4096,2,512,ext4,15757.0
4,6,1,0,4096,2,1024,ext4,15893.333333333336
4,6,1,0,4096,4,256,ext4,15693.666666666664
4,6,1,0,4096,4,512,ext4,15708.666666666664
4,6,1,0,4096,4,1024,ext4,15993.333333333336
4,6,1,0,4096,8,256,ext4,15795.666666666664
4,6,1,0,4096,8,512,ext4,15780.666666666664
4,6,1,0,4096,8,1024,ext4,15943.333333333336
4,6,1,0,4096,12,256,ext4,15745.666666666664
4,6,1,0,4096,12,512,ext4,15850.333333333336
4,6,1,0,4096,12,1024,ext4,15835.333333333336
4,6,1,0,4096,12,2048,ext4,15639.333333333336
4,6,1,0,4096,16,128,ext4,15975.333333333336
4,6,1,0,4096,16,256,ext4,15865.0
4,6,1,0,4096,16,512,ext4,15932.0
4,6,1,0,4096,16,1024,ext4,15903.333333333336
4,6,1,0,4096,32,128,ext4,15978.0
4,6,1,0,4096,32,256,ext4,15649.666666666664
4,6,1,0,4096,32,512,ext4,15748.333333333336
4,6,1,0,4096,32,1024,ext4,15967.0
4,6,1,1,2048,2,256,ext4,15744.0
4,6,1,1,2048,2,512,ext4,15822.333333333336
4,6,1,1,2048,4,256,ext4,15731.0
4,6,1,1,2048,4,512,ext4,15725.333333333336
4,6,1,1,2048,8,256,ext4,15741.0
4,6,1,1,2048,8,512,ext4,15802.333333333336
4,6,1,1,2048,12,256,ext4,15935.333333333336
4,6,1,1,2048,12,512,ext4,15697.333333333336
4,6,1,1,2048,16,128,ext4,15782.0
4,6,1,1,2048,16,256,ext4,15749.0
4,6,1,1,2048,16,512,ext4,15811.0
4,6,1,1,4096,2,256,ext4,15840.666666666664
4,6,1,1,4096,2,512,ext4,15829.0
4,6,1,1,4096,2,1024,ext4,15979.333333333336
4,6,1,1,4096,4,256,ext4,15717.666666666664
4,6,1,1,4096,4,512,ext4,15795.333333333336
4,6,1,1,4096,4,1024,ext4,15910.666666666664
4,6,1,1,4096,8,256,ext4,15768.333333333336
4,6,1,1,4096,8,512,ext4,15773.0
4,6,1,1,4096,8,1024,ext4,15904.333333333336
4,6,1,1,4096,12,256,ext4,15761.666666666664
4,6,1,1,4096,12,512,ext4,15779.666666666664
4,6,1,1,4096,12,1024,ext4,15999.333333333336
4,6,1,1,4096,12,2048,ext4,15646.666666666664
4,6,1,1,4096,16,128,ext4,15991.333333333336
4,6,1,1,4096,16,256,ext4,15815.333333333336
4,6,1,1,4096,16,512,ext4,15847.0
4,6,1,1,4096,16,1024,ext4,16023.666666666664
4,6,1,1,4096,32,128,ext4,15923.166666666664
4,6,1,1,4096,32,256,ext4,15907.0
4,6,1,1,4096,32,512,ext4,15878.666666666664
4,6,1,1,4096,32,1024,ext4,15933.0
4,6,1,2,2048,2,256,ext4,15633.666666666664
4,6,1,2,2048,2,512,ext4,15839.0
4,6,1,2,2048,4,256,ext4,15803.333333333336
4,6,1,2,2048,4,512,ext4,15763.0
4,6,1,2,2048,8,256,ext4,15763.0
4,6,1,2,2048,8,512,ext4,15852.0
4,6,1,2,2048,12,256,ext4,15955.333333333336
4,6,1,2,2048,12,512,ext4,15838.666666666664
4,6,1,2,2048,16,128,ext4,15853.666666666664
4,6,1,2,2048,16,256,ext4,15705.333333333336
4,6,1,2,2048,16,512,ext4,15726.666666666664
4,6,1,2,4096,2,256,ext4,15805.0
4,6,1,2,4096,2,512,ext4,15809.666666666664
4,6,1,2,4096,2,1024,ext4,15978.666666666664
4,6,1,2,4096,4,256,ext4,15732.0
4,6,1,2,4096,4,512,ext4,15782.333333333336
4,6,1,2,4096,4,1024,ext4,15907.333333333336
4,6,1,2,4096,8,256,ext4,15753.0
4,6,1,2,4096,8,512,ext4,15754.0
4,6,1,2,4096,8,1024,ext4,16016.0
4,6,1,2,4096,12,256,ext4,15771.666666666664
4,6,1,2,4096,12,512,ext4,15844.333333333336
4,6,1,2,4096,12,1024,ext4,15890.0
4,6,1,2,4096,12,2048,ext4,15778.0
4,6,1,2,4096,16,128,ext4,16039.0
4,6,1,2,4096,16,256,ext4,15781.333333333336
4,6,1,2,4096,16,512,ext4,15978.333333333336
4,6,1,2,4096,16,1024,ext4,15964.0
4,6,1,2,4096,32,128,ext4,15953.166666666664
4,6,1,2,4096,32,256,ext4,15603.0
4,6,1,2,4096,32,512,ext4,15882.333333333336
4,6,1,2,4096,32,1024,ext4,15915.333333333336
4,6,1,3,2048,2,256,ext4,15715.333333333336
4,6,1,3,2048,2,512,ext4,15794.0
4,6,1,3,2048,4,256,ext4,15818.666666666664
4,6,1,3,2048,4,512,ext4,15876.0
4,6,1,3,2048,8,256,ext4,15836.666666666664
4,6,1,3,2048,8,512,ext4,15856.0
4,6,1,3,2048,12,256,ext4,15799.0
4,6,1,3,2048,12,512,ext4,15816.666666666664
4,6,1,3,2048,16,128,ext4,15774.833333333336
4,6,1,3,2048,16,256,ext4,15754.666666666664
4,6,1,3,2048,16,512,ext4,15892.333333333336
4,6,1,3,4096,2,256,ext4,15792.333333333336
4,6,1,3,4096,2,512,ext4,15886.0
4,6,1,3,4096,2,1024,ext4,15980.333333333336
4,6,1,3,4096,4,256,ext4,15877.666666666664
4,6,1,3,4096,4,512,ext4,15800.0
4,6,1,3,4096,4,1024,ext4,15914.333333333336
4,6,1,3,4096,8,256,ext4,15750.666666666664
4,6,1,3,4096,8,512,ext4,15874.666666666664
4,6,1,3,4096,8,1024,ext4,15949.666666666664
4,6,1,3,4096,12,256,ext4,15667.666666666664
4,6,1,3,4096,12,512,ext4,15889.0
4,6,1,3,4096,12,1024,ext4,15926.666666666664
4,6,1,3,4096,12,2048,ext4,15793.666666666664
4,6,1,3,4096,16,128,ext4,16008.833333333336
4,6,1,3,4096,16,256,ext4,15756.666666666664
4,6,1,3,4096,16,512,ext4,15942.333333333336
4,6,1,3,4096,16,1024,ext4,15859.0
4,6,1,3,4096,32,128,ext4,16058.333333333336
4,6,1,3,4096,32,256,ext4,15769.333333333336
4,6,1,3,4096,32,512,ext4,15805.666666666664
4,6,1,3,4096,32,1024,ext4,15949.666666666664
4,6,2,0,2048,2,256,ext4,15719.0
4,6,2,0,2048,2,512,ext4,15740.333333333336
4,6,2,0,2048,4,256,ext4,15863.333333333336
4,6,2,0,2048,4,512,ext4,15742.0
4,6,2,0,2048,8,256,ext4,15803.666666666664
4,6,2,0,2048,8,512,ext4,15848.333333333336
4,6,2,0,2048,12,256,ext4,15917.0
4,6,2,0,2048,12,512,ext4,15737.666666666664
4,6,2,0,2048,16,128,ext4,15843.666666666664
4,6,2,0,2048,16,256,ext4,15840.666666666664
