workload_id,machine_id,file_system,io_scheduler,disk_type,block_size,bg_count,inode_size,throughput
4,6,ext3,0,3,2048,2,256,15780.0
4,6,ext3,0,3,2048,2,512,15824.0
4,6,ext3,0,3,2048,4,256,15804.333333333336
4,6,ext3,0,3,2048,4,512,15841.666666666664
4,6,ext3,0,3,2048,8,256,15804.666666666664
4,6,ext3,0,3,2048,8,512,15713.666666666664
4,6,ext3,0,3,2048,12,256,15699.666666666664
4,6,ext3,0,3,2048,12,512,15655.0
4,6,ext3,0,3,2048,16,128,15663.666666666664
4,6,ext3,0,3,2048,16,256,15534.666666666664
4,6,ext3,0,3,2048,16,512,15565.0
4,6,ext3,0,3,4096,2,256,15949.333333333336
4,6,ext3,0,3,4096,2,512,15964.0
4,6,ext3,0,3,4096,2,1024,15867.666666666664
4,6,ext3,0,3,4096,4,256,15974.666666666664
4,6,ext3,0,3,4096,4,512,16007.333333333336
4,6,ext3,0,3,4096,4,1024,15937.333333333336
4,6,ext3,0,3,4096,8,256,15909.666666666664
4,6,ext3,0,3,4096,8,512,15668.666666666664
4,6,ext3,0,3,4096,8,1024,15776.666666666664
4,6,ext3,0,3,4096,12,256,15926.0
4,6,ext3,0,3,4096,12,512,15713.666666666664
4,6,ext3,0,3,4096,12,1024,15762.333333333336
4,6,ext3,0,3,4096,12,2048,15663.666666666664
4,6,ext3,0,3,4096,16,256,15757.0
4,6,ext3,0,3,4096,16,512,15664.0
4,6,ext3,0,3,4096,16,1024,15720.0
4,6,ext3,0,3,4096,32,128,15760.0
4,6,ext3,0,3,4096,32,256,15758.666666666664
4,6,ext3,0,3,4096,32,512,15509.666666666664
4,6,ext3,0,3,4096,32,1024,15615.0
4,6,ext3,1,0,2048,2,256,14888.333333333336
4,6,ext3,1,0,2048,2,512,15262.666666666664
4,6,ext3,1,0,2048,4,256,15776.333333333336
4,6,ext3,1,0,2048,4,512,15743.333333333336
4,6,ext3,1,0,2048,8,256,15741.666666666664
4,6,ext3,1,0,2048,8,512,15709.666666666664
4,6,ext3,1,0,2048,12,256,15710.333333333336
4,6,ext3,1,0,2048,12,512,15569.333333333336
4,6,ext3,1,0,2048,16,128,15624.666666666664
4,6,ext3,1,0,2048,16,256,15659.666666666664
4,6,ext3,1,0,2048,16,512,15588.0
4,6,ext3,1,0,4096,2,256,15040.0
4,6,ext3,1,0,4096,2,512,15927.0
4,6,ext3,1,0,4096,2,1024,15430.0
4,6,ext3,1,0,4096,4,256,15865.666666666664
4,6,ext3,1,0,4096,4,512,15983.666666666664
4,6,ext3,1,0,4096,4,1024,15821.333333333336
4,6,ext3,1,0,4096,8,256,15694.666666666664
4,6,ext3,1,0,4096,8,512,15665.0
4,6,ext3,1,0,4096,8,1024,15609.0
4,6,ext3,1,0,4096,12,256,15818.666666666664
4,6,ext3,1,0,4096,12,512,15827.0
4,6,ext3,1,0,4096,12,1024,15734.0
4,6,ext3,1,0,4096,12,2048,15538.0
4,6,ext3,1,0,4096,16,128,15750.0
4,6,ext3,1,0,4096,16,256,15705.333333333336
4,6,ext3,1,0,4096,16,512,15563.333333333336
4,6,ext3,1,0,4096,16,1024,15633.0
4,6,ext3,1,0,4096,32,128,15713.666666666664
4,6,ext3,1,0,4096,32,256,15788.333333333336
4,6,ext3,1,0,4096,32,512,15585.666666666664
4,6,ext3,1,0,4096,32,1024,15672.666666666664
4,6,ext3,1,1,2048,2,256,15613.666666666664
4,6,ext3,1,1,2048,2,512,15530.333333333336
4,6,ext3,1,1,2048,4,256,15626.666666666664
4,6,ext3,1,1,2048,4,512,15668.0
4,6,ext3,1,1,2048,8,256,15790.666666666664
4,6,ext3,1,1,2048,8,512,15660.666666666664
4,6,ext3,1,1,2048,12,256,15616.333333333336
4,6,ext3,1,1,2048,12,512,15552.666666666664
4,6,ext3,1,1,2048,16,128,15589.333333333336
4,6,ext3,1,1,2048,16,256,15607.666666666664
4,6,ext3,1,1,2048,16,512,15522.666666666664
4,6,ext3,1,1,4096,2,256,15745.666666666664
4,6,ext3,1,1,4096,2,512,15902.666666666664
4,6,ext3,1,1,4096,2,1024,15545.666666666664
4,6,ext3,1,1,4096,4,256,15910.333333333336
4,6,ext3,1,1,4096,4,512,16025.0
4,6,ext3,1,1,4096,4,1024,15747.333333333336
4,6,ext3,1,1,4096,8,256,15781.666666666664
4,6,ext3,1,1,4096,8,512,15673.333333333336
4,6,ext3,1,1,4096,8,1024,15541.666666666664
4,6,ext3,1,1,4096,12,256,15721.666666666664
4,6,ext3,1,1,4096,12,512,15855.0
4,6,ext3,1,1,4096,12,1024,15650.0
4,6,ext3,1,1,4096,12,2048,15733.333333333336
4,6,ext3,1,1,4096,16,128,15759.333333333336
4,6,ext3,1,1,4096,16,256,15774.333333333336
4,6,ext3,1,1,4096,16,512,15632.333333333336
4,6,ext3,1,1,4096,16,1024,15679.666666666664
4,6,ext3,1,1,4096,32,128,15778.333333333336
4,6,ext3,1,1,4096,32,256,15666.0
4,6,ext3,1,1,4096,32,512,15594.666666666664
4,6,ext3,1,1,4096,32,1024,15784.0
4,6,ext3,1,2,2048,2,256,15125.666666666664
4,6,ext3,1,2,2048,2,512,15070.666666666664
4,6,ext3,1,2,2048,4,256,15593.666666666664
4,6,ext3,1,2,2048,4,512,15533.666666666664
4,6,ext3,1,2,2048,8,256,15711.333333333336
4,6,ext3,1,2,2048,8,512,15811.333333333336
4,6,ext3,1,2,2048,12,256,15675.0
4,6,ext3,1,2,2048,12,512,15580.0
4,6,ext3,1,2,2048,16,128,15580.0
4,6,ext3,1,2,2048,16,256,15573.666666666664
4,6,ext3,1,2,2048,16,512,15595.0
4,6,ext3,1,2,4096,2,256,15419.666666666664
4,6,ext3,1,2,4096,2,512,16030.0
4,6,ext3,1,2,4096,2,1024,15416.666666666664
4,6,ext3,1,2,4096,4,256,15885.333333333336
4,6,ext3,1,2,4096,4,512,15829.666666666664
4,6,ext3,1,2,4096,4,1024,15678.333333333336
4,6,ext3,1,2,4096,8,256,15863.0
4,6,ext3,1,2,4096,8,512,15606.666666666664
4,6,ext3,1,2,4096,8,1024,15602.666666666664
4,6,ext3,1,2,4096,12,256,15810.333333333336
4,6,ext3,1,2,4096,12,512,15841.0
4,6,ext3,1,2,4096,12,1024,15619.666666666664
4,6,ext3,1,2,4096,12,2048,15562.666666666664
4,6,ext3,1,2,4096,16,128,15811.666666666664
4,6,ext3,1,2,4096,16,256,15622.0
4,6,ext3,1,2,4096,16,512,15651.666666666664
4,6,ext3,1,2,4096,16,1024,15588.0
4,6,ext3,1,2,4096,32,128,15741.666666666664
4,6,ext3,1,2,4096,32,256,15755.333333333336
4,6,ext3,1,2,4096,32,512,15620.0
4,6,ext3,1,2,4096,32,1024,15721.0
4,6,ext3,1,3,2048,2,256,15860.0
4,6,ext3,1,3,2048,2,512,15833.0
4,6,ext3,1,3,2048,4,256,15826.333333333336
4,6,ext3,1,3,2048,4,512,15833.666666666664
4,6,ext3,1,3,2048,8,256,15745.333333333336
4,6,ext3,1,3,2048,8,512,15797.333333333336
4,6,ext3,1,3,2048,12,256,15724.666666666664
