Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.5,1,16,140.3448276
Blade,0.5,1,32,146.4226667
Blade,0.5,1,48,148.69
Blade,0.5,2,1,7.244333333
Blade,0.5,2,2,16.62233333
Blade,0.5,2,4,45.28833333
Blade,0.5,2,8,97.8162069
Blade,0.5,2,16,138.1006667
Blade,0.5,2,32,146.711
Blade,0.5,2,48,148.7666667
Blade,0.5,4,1,7.177666667
Blade,0.5,4,2,16.82233333
Blade,0.5,4,4,44.05466667
Blade,0.5,4,8,100.4776667
Blade,0.5,4,16,137.0333333
Blade,0.5,4,32,147.3326667
Blade,0.5,4,48,147.8389655
Blade,0.5,8,1,7.243333333
Blade,0.5,8,2,16.91133333
Blade,0.5,8,4,46.41133333
Blade,0.5,8,8,103.1368966
Blade,0.5,8,16,141.6886667
Blade,0.5,8,32,148.9886667
Blade,0.5,8,48,150.6555172
Blade,0.5,16,1,7.021666667
Blade,0.5,16,2,15.98866667
Blade,0.5,16,4,46.22233333
Blade,0.5,16,8,115.1
Blade,0.5,16,16,163.9434483
Blade,0.5,16,32,173.4368966
Blade,0.5,16,48,171.923
Blade,0.5,32,1,8.322666667
Blade,0.5,32,2,19.70103448
Blade,0.5,32,4,56.52233333
Blade,0.5,32,8,134.9556667
Blade,0.5,32,16,183.2453333
Blade,0.5,32,32,191.7223333
Blade,0.5,32,48,191.6
Blade,0.5,64,1,8.255666667
Blade,0.5,64,2,21.66766667
Blade,0.5,64,4,69.99933333
Blade,0.5,64,8,157.2875862
Blade,0.5,64,16,210.222
Blade,0.5,64,32,219.056
Blade,0.5,64,48,221.178
Blade,0.5,128,1,8.355
Blade,0.5,128,2,23.21166667
Blade,0.5,128,4,81.60896552
Blade,0.5,128,8,181.389
Blade,0.5,128,16,249.877
Blade,0.5,128,32,259.3883333
Blade,0.5,128,48,261.8113333
Blade,0.5,256,1,8.494827586
Blade,0.5,256,2,24.1
Blade,0.5,256,4,86.12233333
Blade,0.5,256,8,224.2
Blade,0.5,256,16,347.3673333
Blade,0.5,256,32,356.011
Blade,0.5,256,48,361.0886667
Blade,0.5,512,1,8.089666667
Blade,0.5,512,2,23.54466667
Blade,0.5,512,4,99.56666667
Blade,0.5,512,8,304.2872414
Blade,0.5,512,16,490.1673333
Blade,0.5,512,32,509.5333333
Blade,0.5,512,48,519.2058621
Blade,0.5,1024,1,10.688
Blade,0.5,1024,2,31.45566667
Blade,0.5,1024,4,92.87833333
Blade,0.5,1024,8,351.9553333
Blade,0.5,1024,16,626.5113333
Blade,0.5,1024,32,703.5776667
Blade,0.5,1024,48,683.8851724
Blade,1,1,1,7.422333333
Blade,1,1,2,17.28793103
Blade,1,1,4,45.023
Blade,1,1,8,99.1962069
Blade,1,1,16,143.9893333
Blade,1,1,32,150.4113333
Blade,1,1,48,153.922
Blade,1,2,1,7.211333333
Blade,1,2,2,17.144
Blade,1,2,4,44.86666667
Blade,1,2,8,99.67833333
Blade,1,2,16,144.2186207
Blade,1,2,32,149.8503448
Blade,1,2,48,155.777
Blade,1,4,1,7.300666667
Blade,1,4,2,16.93366667
Blade,1,4,4,45.62233333
Blade,1,4,8,101.111
Blade,1,4,16,142.7666667
Blade,1,4,32,151.4666667
Blade,1,4,48,157.1
Blade,1,8,1,6.827586207
Blade,1,8,2,16.87766667
Blade,1,8,4,46.43266667
Blade,1,8,8,107.0326667
Blade,1,8,16,144.733
Blade,1,8,32,156.7003333
Blade,1,8,48,156.7213333
Blade,1,16,1,7.000333333
Blade,1,16,2,16.56666667
Blade,1,16,4,45.75633333
Blade,1,16,8,119.3106667
Blade,1,16,16,171.5975862
Blade,1,16,32,181.244
Blade,1,16,48,182.4
Blade,1,32,1,8.110666667
Blade,1,32,2,19.69933333
Blade,1,32,4,58.277
Blade,1,32,8,143.589
Blade,1,32,16,202.0323333
Blade,1,32,32,212.2786667
Blade,1,32,48,208.7773333
Blade,1,64,1,8.345
Blade,1,64,2,22.089
Blade,1,64,4,70.466
Blade,1,64,8,162.2116667
Blade,1,64,16,219.511
Blade,1,64,32,225.8003333
Blade,1,64,48,229.533
Blade,1,128,1,8.611333333
Blade,1,128,2,24.356
Blade,1,128,4,82.92266667
Blade,1,128,8,184.1776667
Blade,1,128,16,251.8396552
Blade,1,128,32,262.0226667
Blade,1,128,48,271.2666667
Blade,1,256,1,8.355666667
Blade,1,256,2,24.29933333
Blade,1,256,4,86.123
Blade,1,256,8,229.9548276
Blade,1,256,16,350.9446667
Blade,1,256,32,377.2443333
Blade,1,256,48,372.333
Blade,1,512,1,8.448965517
Blade,1,512,2,23.93333333
Blade,1,512,4,95.21033333
Blade,1,512,8,308.1556667
Blade,1,512,16,539.567
Blade,1,512,32,627.088
Blade,1,512,48,617.6223333
Blade,1,1024,1,10.82166667
Blade,1,1024,2,32.01133333
Blade,1,1024,4,95.45566667
Blade,1,1024,8,402.545
Blade,1,1024,16,941.1436667
Blade,1,1024,32,997.0446667
Blade,1,1024,48,964.7663333
