Platform,CPU,buffer_pool,disk_bandwidth_quanta,TPMC
Blade,0.5,1,16,80.91133333
Blade,0.5,1,32,88.056
Blade,0.5,1,48,87.69933333
Blade,0.5,2,1,5.189333333
Blade,0.5,2,2,13.08933333
Blade,0.5,2,4,29.67766667
Blade,0.5,2,8,57.65466667
Blade,0.5,2,16,78.48833333
Blade,0.5,2,32,84.70033333
Blade,0.5,2,48,86.11166667
Blade,0.5,4,1,5.355666667
Blade,0.5,4,2,13.33366667
Blade,0.5,4,4,30.222
Blade,0.5,4,8,58.04533333
Blade,0.5,4,16,80.867
Blade,0.5,4,32,87.489
Blade,0.5,4,48,86.92266667
Blade,0.5,8,1,5.211666667
Blade,0.5,8,2,12.87766667
Blade,0.5,8,4,29.56766667
Blade,0.5,8,8,57.36733333
Blade,0.5,8,16,80.623
Blade,0.5,8,32,86.644
Blade,0.5,8,48,88.24433333
Blade,0.5,16,1,5.288333333
Blade,0.5,16,2,12.63266667
Blade,0.5,16,4,29.16137931
Blade,0.5,16,8,56.25533333
Blade,0.5,16,16,80.378
Blade,0.5,16,32,89.56344828
Blade,0.5,16,48,89.14466667
Blade,0.5,32,1,5.834333333
Blade,0.5,32,2,14.577
Blade,0.5,32,4,34.522
Blade,0.5,32,8,68.74466667
Blade,0.5,32,16,104.4248276
Blade,0.5,32,32,112.7223333
Blade,0.5,32,48,112.489
Blade,0.5,64,1,5.747241379
Blade,0.5,64,2,14.9
Blade,0.5,64,4,38.18933333
Blade,0.5,64,8,77.28758621
Blade,0.5,64,16,108.7886667
Blade,0.5,64,32,116.6123333
Blade,0.5,64,48,118.4113333
Blade,0.5,128,1,6.000689655
Blade,0.5,128,2,15.521
Blade,0.5,128,4,39.678
Blade,0.5,128,8,82.23333333
Blade,0.5,128,16,116.2103333
Blade,0.5,128,32,124.367
Blade,0.5,128,48,126.8896667
Blade,0.5,256,1,5.689666667
Blade,0.5,256,2,14.79
Blade,0.5,256,4,39.711
Blade,0.5,256,8,86.74466667
Blade,0.5,256,16,129.445
Blade,0.5,256,32,138.0006667
Blade,0.5,256,48,138.6113333
Blade,0.5,512,1,5.866333333
Blade,0.5,512,2,15.434
Blade,0.5,512,4,40.83366667
Blade,0.5,512,8,95.16666667
Blade,0.5,512,16,143.1106667
Blade,0.5,512,32,154.6886667
Blade,0.5,512,48,154.8106667
Blade,0.5,1024,1,7.734
Blade,0.5,1024,2,19.167
Blade,0.5,1024,4,44.44466667
Blade,0.5,1024,8,96.01
Blade,0.5,1024,16,145.0893333
Blade,0.5,1024,32,153.2663333
Blade,0.5,1024,48,156.356
Blade,1,1,1,5.377666667
